posdep_id,stat_id,posdep,freq.
0,0,NNS_NMOD,2
1,0,NN_NMOD,2
2,0,NNS_PMOD,1
3,1,NN_ROOT,2
4,1,NN_PMOD,3
5,1,NN_SBJ,1
6,1,NN_OBJ,1
7,1,NN_PRD,1
8,2,CC_CC,3721
9,2,CC_ADV,2
10,2,CC_SBJ,6
11,2,CC_DEP,16
12,2,CC_ROOT,63
13,2,CC_VMOD,2
14,2,CC_P,51
15,2,CC_AMOD,2
16,2,CC_NMOD,2
17,2,NP_ROOT,1
18,3,DT_NMOD,143
19,3,DT_SBJ,5
20,3,RB_AMOD,7
21,3,RB_NMOD,3
22,3,DT_AMOD,5
23,3,RB_ADV,16
24,3,RB_ROOT,1
25,3,UH_DEP,2
26,3,DT_VMOD,3
27,3,UH_VMOD,1
28,3,DT_DEP,11
29,3,DT_COORD,1
30,3,RB_PMOD,1
31,3,DT_P,1
32,3,DT_ROOT,1
33,4,JJ_NMOD,10
34,4,NN_NMOD,2
35,4,NN_SBJ,1
36,5,NNS_COORD,2
37,5,NNS_PMOD,4
38,5,NN_OBJ,7
39,5,NNS_NMOD,1
40,5,NNS_OBJ,1
41,5,NNS_SBJ,3
42,5,NN_SBJ,2
43,5,NN_PMOD,9
44,5,VVN_NMOD,2
45,5,VVN_VMOD,1
46,5,VVD_PMOD,1
47,5,NN_COORD,1
48,5,NN_ROOT,4
49,5,NN_NMOD,8
50,5,NN_PRD,1
51,6,VBP_ROOT,333
52,6,VBP_ADV,72
53,6,VBP_NMOD,142
54,6,VBP_COORD,82
55,6,VBP_OBJ,65
56,6,JJ_SBJ,1
57,6,VBP_PMOD,21
58,6,VBP_VMOD,3
59,6,VBP_PRN,3
60,6,VBP_PRD,5
61,6,VBP_AMOD,14
62,6,VBP_SBJ,5
63,6,VBP_EXP,4
64,6,VBP_CLF,1
65,7,NN_PRD,1
66,8,WRB_ADV,57
67,8,WRB_PRD,7
68,8,WRB_NMOD,13
69,8,WRB_ROOT,40
70,8,WRB_VMOD,2
71,8,WRB_SBJ,1
72,9,NN_SBJ,1
73,9,NN_NMOD,13
74,9,NN_PMOD,7
75,9,NN_OBJ,2
76,10,VVD_PMOD,4
77,10,VVD_ROOT,11
78,10,NN_SBJ,6
79,10,VVN_VC,48
80,10,VVN_NMOD,21
81,10,VVG_DEP,3
82,10,VV_OBJ,18
83,10,VVZ_NMOD,6
84,10,VVG_NMOD,21
85,10,VVG_PMOD,10
86,10,VV_COORD,5
87,10,VVG_OBJ,10
88,10,VVD_AMOD,1
89,10,NN_PMOD,21
90,10,VV_ROOT,11
91,10,VV_VC,37
92,10,VV_AMOD,5
93,10,VVZ_ROOT,7
94,10,NN_OBJ,17
95,10,NNS_PMOD,2
96,10,NNS_OBJ,1
97,10,VVN_ADV,1
98,10,VVG_ADV,13
99,10,VVP_ROOT,10
100,10,VVG_VC,18
101,10,VVP_ADV,1
102,10,VVG_SBJ,3
103,10,NN_ROOT,1
104,10,VVP_COORD,2
105,10,VVD_COORD,3
106,10,NN_PRN,1
107,10,NN_PRD,2
108,10,NN_COORD,5
109,10,VV_NMOD,4
110,10,VVP_NMOD,7
111,10,VVN_ROOT,3
112,10,VVP_VC,1
113,10,VV_PMOD,3
114,10,VVD_OBJ,1
115,10,NN_NMOD,5
116,10,VVD_NMOD,2
117,10,NN_ADV,1
118,10,VVZ_COORD,2
119,10,VVG_ROOT,2
120,10,VV_PRD,1
121,10,VVG_COORD,1
122,10,VVD_ADV,1
123,10,VVN_COORD,1
124,10,VV_EXP,1
125,11,TO_VMOD,2056
126,11,TO_NMOD,321
127,11,TO_ADV,796
128,11,TO_AMOD,143
129,11,TO_PMOD,68
130,11,TO_ROOT,66
131,11,TO_OBJ,3
132,11,TO_DEP,34
133,11,TO_SBJ,4
134,11,TO_COORD,6
135,12,VB_OBJ,137
136,12,VBZ_COORD,145
137,12,VBD_COORD,110
138,12,VBD_ROOT,446
139,12,VB_VC,576
140,12,VBD_OBJ,106
141,12,VBZ_NMOD,195
142,12,VBP_OBJ,20
143,12,VBP_COORD,14
144,12,VBP_ROOT,40
145,12,VBZ_OBJ,191
146,12,VBG_PMOD,24
147,12,VBZ_ROOT,838
148,12,VBP_ADV,9
149,12,VBZ_CLF,4
150,12,VBG_VC,27
151,12,VBN_VC,223
152,12,VBD_NMOD,96
153,12,VBZ_EXP,2
154,12,VB_AMOD,23
155,12,VBD_EXP,4
156,12,VBZ_PMOD,56
157,12,VBZ_PRD,11
158,12,VB_NMOD,33
159,12,VBD_ADV,84
160,12,VBP_NMOD,5
161,12,VBZ_AMOD,11
162,12,VBZ_PRN,15
163,12,VBZ_ADV,143
164,12,VBD_PMOD,49
165,12,VBZ_SBJ,12
166,12,VBD_PRN,5
167,12,VB_COORD,8
168,12,VBP_PRD,2
169,12,VBZ_DEP,7
170,12,VBP_PMOD,1
171,12,VB_ADV,16
172,12,VBD_PRD,3
173,12,VB_PRD,3
174,12,VBD_DEP,1
175,12,VB_PMOD,2
176,12,VBG_ADV,8
177,12,VBP_CLF,1
178,12,VBG_NMOD,24
179,12,VBN_ROOT,2
180,12,VBG_ROOT,4
181,12,VB_ROOT,6
182,12,VBZ_VMOD,1
183,12,VBN_NMOD,2
184,12,VBD_AMOD,9
185,12,VBP_AMOD,1
186,12,VBP_PRN,2
187,12,VB_EXP,3
188,12,VBD_SBJ,1
189,12,VBD_VMOD,1
190,12,VBP_EXP,1
191,12,VBG_COORD,7
192,12,VBG_SBJ,2
193,12,VBG_OBJ,4
194,12,VBD_VC,5
195,12,VBG_DEP,1
196,12,VBG_PRN,1
197,12,VBP_DEP,1
198,13,IN_PRD,1
199,13,IN_ROOT,6
200,13,IN_VMOD,24
201,13,IN_NMOD,5
202,13,IN_ADV,33
203,13,RB_ADV,4
204,13,RB_NMOD,2
205,13,IN_DEP,1
206,13,RB_AMOD,1
207,14,JJ_NMOD,14
208,14,JJ_PMOD,1
209,15,NN_PMOD,1
210,15,NN_COORD,1
211,16,JJ_NMOD,11
212,16,JJS_NMOD,3
213,16,JJ_PRD,4
214,16,JJR_COORD,1
215,16,JJR_PRD,4
216,16,JJR_VMOD,1
217,16,JJR_ADV,2
218,16,JJR_PMOD,1
219,16,JJ_COORD,1
220,17,NN_PRD,9
221,17,NNS_SBJ,14
222,17,NNS_OBJ,12
223,17,NNS_ROOT,4
224,17,NN_OBJ,4
225,17,NN_NMOD,1
226,17,NNS_PMOD,9
227,17,NN_PMOD,3
228,17,NN_SBJ,5
229,17,NNS_COORD,2
230,17,NNS_PRD,1
231,17,NN_ADV,1
232,17,NN_COORD,1
233,18,VVP_ADV,1
234,18,VVZ_ROOT,30
235,18,VV_VC,10
236,18,VVZ_NMOD,2
237,18,VVZ_COORD,5
238,18,VVZ_PRN,3
239,18,VVP_ROOT,8
240,18,VVD_PRN,5
241,18,VVP_VC,2
242,18,VV_AMOD,1
243,18,VVD_ROOT,95
244,18,VVN_NMOD,3
245,18,VVP_PMOD,1
246,18,VVD_ADV,5
247,18,VV_OBJ,11
248,18,VV_EXP,2
249,18,VVG_ROOT,1
250,18,VVG_OBJ,2
251,18,VVD_VC,4
252,18,VVD_NMOD,4
253,18,VV_ADV,6
254,18,VVD_PMOD,5
255,18,VVG_VC,1
256,18,VVN_VC,4
257,18,VVD_COORD,10
258,18,VVP_COORD,4
259,18,VVP_OBJ,3
260,18,VVP_NMOD,1
261,18,VVG_DEP,1
262,18,VVD_PRD,1
263,18,VVZ_PRD,1
264,18,VVZ_EXP,1
265,18,VVD_DEP,1
266,18,VVD_OBJ,1
267,18,VVZ_ADV,1
268,18,VVG_NMOD,2
269,18,VVG_PMOD,2
270,18,VVZ_PMOD,1
271,19,IN_ADV,1856
272,19,IN_COORD,19
273,19,RP_PRT,4
274,19,IN_PRD,88
275,19,IN_ROOT,115
276,19,IN_VMOD,63
277,19,IN_NMOD,108
278,19,IN_AMOD,45
279,19,IN_PMOD,11
280,19,IN_PRN,7
281,19,IN_DEP,37
282,19,IN_OBJ,5
283,19,IN_SBJ,1
284,19,RB_AMOD,1
285,19,IN_P,5
286,19,RB_ADV,1
287,20,DT_NMOD,504
288,20,DT_SBJ,190
289,20,DT_OBJ,37
290,20,DT_AMOD,1
291,20,DT_PMOD,27
292,20,DT_ROOT,9
293,20,NN_NMOD,1
294,20,DT_VMOD,9
295,20,RB_ADV,1
296,20,DT_DEP,1
297,20,DT_P,1
298,20,NN_PMOD,2
299,21,JJ_NMOD,27
300,21,JJ_ROOT,2
301,21,NNS_ROOT,1
302,21,JJ_COORD,2
303,21,JJ_SBJ,1
304,21,JJ_DEP,2
305,22,NN_PMOD,14
306,22,VV_COORD,3
307,22,NNS_SBJ,2
308,22,VVZ_ROOT,4
309,22,NN_OBJ,7
310,22,NNS_ROOT,3
311,22,VVZ_OBJ,1
312,22,NN_NMOD,4
313,22,VVN_VC,6
314,22,NNS_OBJ,2
315,22,NNS_PMOD,1
316,22,VV_VC,2
317,22,VVD_ROOT,5
318,22,VVD_VC,1
319,22,VVN_NMOD,1
320,22,NN_SBJ,13
321,22,VV_ADV,1
322,22,VV_OBJ,1
323,22,VV_AMOD,1
324,22,VVD_NMOD,1
325,22,NN_VMOD,1
326,22,NN_PRD,1
327,22,VVG_COORD,1
328,22,NN_ROOT,1
329,22,NNS_COORD,1
330,22,NN_COORD,1
331,23,NP_P,2
332,23,NP_VMOD,1
333,23,NP_NMOD,7
334,23,NP_DEP,2
335,23,NP_ADV,1
336,23,NP_ROOT,1
337,23,NP_SBJ,1
338,24,NP_DEP,6
339,24,NP_ADV,1
340,24,NP_NMOD,10
341,24,NP_PMOD,2
342,24,NP_ROOT,1
343,24,NP_COORD,1
344,25,NP_ROOT,1
345,26,VVD_ROOT,12
346,26,VVP_ROOT,9
347,26,VV_ADV,15
348,26,VVG_ADV,5
349,26,VV_COORD,13
350,26,VV_NMOD,9
351,26,VV_OBJ,28
352,26,VV_VC,18
353,26,VVP_VC,1
354,26,VVD_NMOD,5
355,26,VVG_NMOD,8
356,26,VV_AMOD,2
357,26,VV_ROOT,8
358,26,VVD_OBJ,3
359,26,VVP_OBJ,1
360,26,VVG_PMOD,7
361,26,VVZ_COORD,2
362,26,VV_EXP,1
363,26,VVD_COORD,3
364,26,VVZ_ROOT,10
365,26,VVG_SBJ,1
366,26,VVN_VC,39
367,26,VVN_OBJ,1
368,26,VVP_COORD,6
369,26,VVN_NMOD,15
370,26,VVP_NMOD,6
371,26,NN_OBJ,1
372,26,VV_PMOD,2
373,26,VVG_VC,6
374,26,VVD_VC,1
375,26,VVD_PMOD,2
376,26,VVG_COORD,2
377,26,VVG_VMOD,1
378,26,VVZ_ADV,1
379,26,VVG_OBJ,1
380,26,VVP_SBJ,1
381,26,VVZ_NMOD,5
382,26,VVD_ADV,1
383,26,VVG_ROOT,1
384,26,VVG_DEP,1
385,26,VVP_PMOD,2
386,26,VVD_PRD,1
387,26,VV_SBJ,1
388,26,VVN_DEP,1
389,26,VVZ_DEP,1
390,27,NNS_OBJ,2
391,27,VVD_ADV,1
392,27,VVZ_ROOT,1
393,28,IN_NMOD,70
394,28,IN_ADV,64
395,28,RB_OBJ,1
396,28,RB_PRD,2
397,28,IN_AMOD,11
398,28,RB_ADV,14
399,28,RB_AMOD,4
400,28,RB_NMOD,11
401,28,IN_DEP,8
402,28,IN_SBJ,1
403,28,IN_VMOD,2
404,28,IN_ROOT,2
405,28,IN_PRD,1
406,28,RB_SBJ,1
407,28,RB_ROOT,1
408,29,NN_NMOD,2
409,30,NNS_PMOD,3
410,30,NNS_SBJ,1
411,31,VVP_NMOD,1
412,31,VVN_VC,3
413,31,VV_OBJ,3
414,31,VVP_AMOD,1
415,31,VVG_NMOD,3
416,31,VV_VC,1
417,31,VV_NMOD,1
418,31,VVP_ROOT,1
419,31,VVG_PMOD,1
420,31,VV_ROOT,1
421,31,VVG_COORD,1
422,31,VVZ_OBJ,1
423,32,IN_ADV,404
424,32,IN_PMOD,4
425,32,IN_PRD,27
426,32,IN_NMOD,18
427,32,IN_ROOT,36
428,32,IN_DEP,31
429,32,IN_PRN,1
430,32,IN_VMOD,11
431,32,IN_AMOD,8
432,32,IN_COORD,8
433,32,NN_NMOD,1
434,32,JJ_NMOD,1
435,32,IN_SBJ,1
436,32,NN_PMOD,1
437,33,NNS_PMOD,4
438,33,NN_NMOD,2
439,33,NNS_SBJ,1
440,33,VV_NMOD,1
441,33,VVG_ROOT,1
442,33,VVG_NMOD,1
443,33,VVZ_NMOD,3
444,33,NN_OBJ,1
445,33,VV_VC,1
446,33,VV_OBJ,2
447,34,CD_NMOD,51
448,34,CD_ROOT,1
449,34,CD_DEP,3
450,34,CD_PRD,2
451,34,CD_PMOD,2
452,34,CD_SBJ,1
453,34,CD_COORD,1
454,35,NNS_AMOD,22
455,35,NNS_PMOD,68
456,35,NNS_SBJ,3
457,35,NN_ADV,14
458,35,NN_PMOD,50
459,35,NN_OBJ,2
460,35,NN_NMOD,14
461,35,NN_AMOD,1
462,35,NNS_DEP,1
463,35,NNS_NMOD,2
464,35,NN_ROOT,4
